element,fixed,N_val,N_low,N_up,B_val,B_low,B_up,R_val,R_low,R_up
HI, 0, 21.95, 21.85, 22.05, 15., 0.0, 100.0, 0.0, -100, 100
FeII, 1, 15.54, 15.0, 15.60, 18.99, 0.0, 20.0, -11.03, -100, 100
FeIIa, 1, 13.28, 13.0, 13.60, 9.62, 0.0, 20.0, 3.645, -100, 100
FeIIb, 1, 13.12, 12.80, 13.40, 9.52, 0.0, 20.0, 0.55, -100, 100
ZnII, 1, 13.45, 13.10, 13.80, 9.9376, 0.0, 20.0, -0.40, -100, 100
OIa, 1, 15.29, 15.00, 15.60, 9.347, 0.0, 20.0, 24.71, -100, 100
CrII, 1, 13.69, 13.40, 14.00, 10.22, 0.0, 20.0, -1.36, -100, 100
NiII, 1, 14.20, 13.90, 14.50, 10.14, 0.0, 20.0, 0.06, -100, 100
NII, 1, 15.30, 0, 0, 22.52, 0, 0, -0.146, 0, 0
OVI, 1, 18.858, 0, 0, 16.917, 0, 0, 0.540, 0, 0
SIV, 1, 18.19, 0, 0, 18.81, 0, 0, -6.104, 0, 0
CII, 1, 19.69, 0, 0, 15.02, 0, 0, -7.430, 0, 0
CrIII, 1, 12.381, 0, 0, 13.293, 0, 0, -3.02, 0, 0
OI, 1, 18.62, 0, 0, 23.871, 0, 0, -4.52, 0, 0
SiII, 1, 17.024, 0, 0, 14.81, 0, 0, 20.74, 0, 0